Unnamed: 0,index,pp01,year,month,ten_days,stno
66,,0.0,2005.0,12.0,1,C0G650
68,,0.5,2005.0,12.0,2,C0G650
70,,9.5,2005.0,12.0,3,C0G650
0,,0.0,2006.0,1.0,1,C0G650
2,,0.0,2006.0,1.0,2,C0G650
4,,11.5,2006.0,1.0,3,C0G650
6,,0.0,2006.0,2.0,1,C0G650
8,,2.5,2006.0,2.0,2,C0G650
10,,10.5,2006.0,2.0,3,C0G650
12,,4.0,2006.0,3.0,1,C0G650
14,,4.5,2006.0,3.0,2,C0G650
16,,68.0,2006.0,3.0,3,C0G650
18,,56.0,2006.0,4.0,1,C0G650
20,,55.5,2006.0,4.0,2,C0G650
22,,36.0,2006.0,4.0,3,C0G650
24,,23.5,2006.0,5.0,1,C0G650
26,,47.5,2006.0,5.0,2,C0G650
28,,166.0,2006.0,5.0,3,C0G650
30,,576.5,2006.0,6.0,1,C0G650
32,,19.0,2006.0,6.0,2,C0G650
34,,26.0,2006.0,6.0,3,C0G650
36,,111.0,2006.0,7.0,1,C0G650
38,,177.0,2006.0,7.0,2,C0G650
40,,11.0,2006.0,7.0,3,C0G650
42,,57.5,2006.0,8.0,1,C0G650
44,,93.0,2006.0,8.0,2,C0G650
46,,1.5,2006.0,8.0,3,C0G650
48,,200.5,2006.0,9.0,1,C0G650
50,,42.5,2006.0,9.0,2,C0G650
52,,0.0,2006.0,9.0,3,C0G650
54,,0.0,2006.0,10.0,1,C0G650
56,,0.0,2006.0,10.0,2,C0G650
58,,0.0,2006.0,10.0,3,C0G650
60,,10.0,2006.0,11.0,1,C0G650
62,,32.5,2006.0,11.0,2,C0G650
64,,56.0,2006.0,11.0,3,C0G650
66,,0.0,2006.0,12.0,1,C0G650
68,,44.0,2006.0,12.0,2,C0G650
70,,0.0,2006.0,12.0,3,C0G650
0,,5.0,2007.0,1.0,1,C0G650
2,,40.0,2007.0,1.0,2,C0G650
4,,3.5,2007.0,1.0,3,C0G650
6,,0.0,2007.0,2.0,1,C0G650
8,,0.0,2007.0,2.0,2,C0G650
10,,24.5,2007.0,2.0,3,C0G650
12,,22.0,2007.0,3.0,1,C0G650
14,,9.0,2007.0,3.0,2,C0G650
16,,45.0,2007.0,3.0,3,C0G650
18,,54.5,2007.0,4.0,1,C0G650
20,,38.5,2007.0,4.0,2,C0G650
22,,13.5,2007.0,4.0,3,C0G650
24,,26.5,2007.0,5.0,1,C0G650
26,,40.5,2007.0,5.0,2,C0G650
28,,67.5,2007.0,5.0,3,C0G650
30,,306.0,2007.0,6.0,1,C0G650
32,,19.0,2007.0,6.0,2,C0G650
34,,80.0,2007.0,6.0,3,C0G650
36,,5.0,2007.0,7.0,1,C0G650
38,,7.0,2007.0,7.0,2,C0G650
40,,49.5,2007.0,7.0,3,C0G650
42,,49.5,2007.0,8.0,1,C0G650
44,,449.5,2007.0,8.0,2,C0G650
46,,58.0,2007.0,8.0,3,C0G650
48,,127.0,2007.0,9.0,1,C0G650
50,,148.5,2007.0,9.0,2,C0G650
52,,34.0,2007.0,9.0,3,C0G650
54,,222.0,2007.0,10.0,1,C0G650
56,,0.0,2007.0,10.0,2,C0G650
58,,0.0,2007.0,10.0,3,C0G650
60,,3.0,2007.0,11.0,1,C0G650
62,,0.0,2007.0,11.0,2,C0G650
64,,14.5,2007.0,11.0,3,C0G650
66,,0.0,2007.0,12.0,1,C0G650
68,,0.0,2007.0,12.0,2,C0G650
70,,3.5,2007.0,12.0,3,C0G650
0,,0.0,2008.0,1.0,1,C0G650
2,,1.5,2008.0,1.0,2,C0G650
4,,14.5,2008.0,1.0,3,C0G650
6,,16.0,2008.0,2.0,1,C0G650
8,,0.0,2008.0,2.0,2,C0G650
10,,6.0,2008.0,2.0,3,C0G650
12,,2.5,2008.0,3.0,1,C0G650
14,,1.0,2008.0,3.0,2,C0G650
16,,26.0,2008.0,3.0,3,C0G650
18,,9.0,2008.0,4.0,1,C0G650
20,,3.0,2008.0,4.0,2,C0G650
22,,18.5,2008.0,4.0,3,C0G650
24,,28.5,2008.0,5.0,1,C0G650
26,,8.0,2008.0,5.0,2,C0G650
28,,98.0,2008.0,5.0,3,C0G650
30,,131.0,2008.0,6.0,1,C0G650
32,,73.5,2008.0,6.0,2,C0G650
34,,8.0,2008.0,6.0,3,C0G650
36,,71.0,2008.0,7.0,1,C0G650
38,,372.0,2008.0,7.0,2,C0G650
40,,140.0,2008.0,7.0,3,C0G650
42,,79.0,2008.0,8.0,1,C0G650
44,,16.0,2008.0,8.0,2,C0G650
46,,3.5,2008.0,8.0,3,C0G650
48,,28.0,2008.0,9.0,1,C0G650
50,,336.0,2008.0,9.0,2,C0G650
52,,251.5,2008.0,9.0,3,C0G650
54,,58.5,2008.0,10.0,1,C0G650
56,,0.0,2008.0,10.0,2,C0G650
58,,0.0,2008.0,10.0,3,C0G650
60,,17.5,2008.0,11.0,1,C0G650
62,,0.5,2008.0,11.0,2,C0G650
64,,0.0,2008.0,11.0,3,C0G650
66,,0.0,2008.0,12.0,1,C0G650
68,,0.0,2008.0,12.0,2,C0G650
70,,11.0,2008.0,12.0,3,C0G650
0,,0.0,2009.0,1.0,1,C0G650
2,,0.0,2009.0,1.0,2,C0G650
4,,0.0,2009.0,1.0,3,C0G650
6,,0.0,2009.0,2.0,1,C0G650
8,,1.5,2009.0,2.0,2,C0G650
10,,0.0,2009.0,2.0,3,C0G650
12,,92.5,2009.0,3.0,1,C0G650
14,,1.0,2009.0,3.0,2,C0G650
