,index,pp01,year,month,ten_days,stno
55,,0.0,2006.0,10.0,1,C1X090
57,,0.0,2006.0,10.0,2,C1X090
59,,2.0,2006.0,10.0,3,C1X090
61,,5.0,2006.0,11.0,1,C1X090
63,,10.5,2006.0,11.0,2,C1X090
65,,22.5,2006.0,11.0,3,C1X090
67,,0.0,2006.0,12.0,1,C1X090
69,,4.5,2006.0,12.0,2,C1X090
71,,0.0,2006.0,12.0,3,C1X090
1,,14.0,2007.0,1.0,1,C1X090
3,,54.0,2007.0,1.0,2,C1X090
5,,0.0,2007.0,1.0,3,C1X090
7,,2.5,2007.0,2.0,1,C1X090
9,,0.0,2007.0,2.0,2,C1X090
11,,5.5,2007.0,2.0,3,C1X090
13,,4.5,2007.0,3.0,1,C1X090
15,,0.0,2007.0,3.0,2,C1X090
17,,11.5,2007.0,3.0,3,C1X090
19,,12.0,2007.0,4.0,1,C1X090
21,,22.5,2007.0,4.0,2,C1X090
23,,3.5,2007.0,4.0,3,C1X090
25,,53.5,2007.0,5.0,1,C1X090
27,,125.5,2007.0,5.0,2,C1X090
29,,19.0,2007.0,5.0,3,C1X090
31,,253.0,2007.0,6.0,1,C1X090
33,,54.0,2007.0,6.0,2,C1X090
35,,59.5,2007.0,6.0,3,C1X090
37,,40.0,2007.0,7.0,1,C1X090
39,,167.0,2007.0,7.0,2,C1X090
41,,0.0,2007.0,7.0,3,C1X090
43,,116.5,2007.0,8.0,1,C1X090
45,,475.0,2007.0,8.0,2,C1X090
47,,85.5,2007.0,8.0,3,C1X090
49,,35.0,2007.0,9.0,1,C1X090
51,,13.5,2007.0,9.0,2,C1X090
53,,37.0,2007.0,9.0,3,C1X090
55,,191.5,2007.0,10.0,1,C1X090
57,,3.0,2007.0,10.0,2,C1X090
59,,0.0,2007.0,10.0,3,C1X090
61,,0.0,2007.0,11.0,1,C1X090
63,,0.0,2007.0,11.0,2,C1X090
65,,13.5,2007.0,11.0,3,C1X090
67,,0.0,2007.0,12.0,1,C1X090
69,,0.0,2007.0,12.0,2,C1X090
71,,0.0,2007.0,12.0,3,C1X090
1,,0.0,2008.0,1.0,1,C1X090
3,,0.5,2008.0,1.0,2,C1X090
5,,19.5,2008.0,1.0,3,C1X090
7,,1.5,2008.0,2.0,1,C1X090
9,,0.0,2008.0,2.0,2,C1X090
11,,7.5,2008.0,2.0,3,C1X090
13,,3.5,2008.0,3.0,1,C1X090
15,,0.0,2008.0,3.0,2,C1X090
17,,12.0,2008.0,3.0,3,C1X090
19,,0.5,2008.0,4.0,1,C1X090
21,,40.0,2008.0,4.0,2,C1X090
23,,13.5,2008.0,4.0,3,C1X090
25,,0.5,2008.0,5.0,1,C1X090
27,,5.5,2008.0,5.0,2,C1X090
29,,39.5,2008.0,5.0,3,C1X090
31,,187.5,2008.0,6.0,1,C1X090
33,,360.0,2008.0,6.0,2,C1X090
35,,102.5,2008.0,6.0,3,C1X090
37,,41.5,2008.0,7.0,1,C1X090
39,,185.0,2008.0,7.0,2,C1X090
41,,171.0,2008.0,7.0,3,C1X090
43,,70.0,2008.0,8.0,1,C1X090
45,,5.5,2008.0,8.0,2,C1X090
47,,50.0,2008.0,8.0,3,C1X090
49,,6.0,2008.0,9.0,1,C1X090
51,,147.5,2008.0,9.0,2,C1X090
53,,154.5,2008.0,9.0,3,C1X090
55,,28.0,2008.0,10.0,1,C1X090
57,,0.0,2008.0,10.0,2,C1X090
59,,0.0,2008.0,10.0,3,C1X090
61,,25.0,2008.0,11.0,1,C1X090
63,,1.5,2008.0,11.0,2,C1X090
65,,0.0,2008.0,11.0,3,C1X090
67,,0.0,2008.0,12.0,1,C1X090
69,,0.0,2008.0,12.0,2,C1X090
71,,1.5,2008.0,12.0,3,C1X090
1,,0.0,2009.0,1.0,1,C1X090
3,,0.0,2009.0,1.0,2,C1X090
5,,0.0,2009.0,1.0,3,C1X090
7,,0.0,2009.0,2.0,1,C1X090
9,,3.0,2009.0,2.0,2,C1X090
11,,0.0,2009.0,2.0,3,C1X090
13,,50.0,2009.0,3.0,1,C1X090
15,,0.0,2009.0,3.0,2,C1X090
17,,6.5,2009.0,3.0,3,C1X090
19,,0.0,2009.0,4.0,1,C1X090
21,,22.0,2009.0,4.0,2,C1X090
23,,35.0,2009.0,4.0,3,C1X090
25,,0.0,2009.0,5.0,1,C1X090
27,,0.0,2009.0,5.0,2,C1X090
29,,5.5,2009.0,5.0,3,C1X090
31,,23.5,2009.0,6.0,1,C1X090
33,,73.0,2009.0,6.0,2,C1X090
35,,99.5,2009.0,6.0,3,C1X090
37,,4.0,2009.0,7.0,1,C1X090
39,,55.0,2009.0,7.0,2,C1X090
41,,42.0,2009.0,7.0,3,C1X090
43,,968.5,2009.0,8.0,1,C1X090
45,,6.0,2009.0,8.0,2,C1X090
47,,0.0,2009.0,8.0,3,C1X090
49,,6.5,2009.0,9.0,1,C1X090
51,,3.0,2009.0,9.0,2,C1X090
53,,15.0,2009.0,9.0,3,C1X090
55,,7.5,2009.0,10.0,1,C1X090
57,,0.0,2009.0,10.0,2,C1X090
59,,0.0,2009.0,10.0,3,C1X090
61,,19.0,2009.0,11.0,1,C1X090
63,,1.0,2009.0,11.0,2,C1X090
65,,0.0,2009.0,11.0,3,C1X090
67,,0.0,2009.0,12.0,1,C1X090
